,Unnamed: 0,Unnamed: 0.1,tags,rgbs,urls,r,g,b
38,39,39,bicycle,186.77144531 176.11480469 173.90885742,https://farm5.staticflickr.com/4850/31954244187_59cd5b9cd4_n.jpg,186.77144531,176.11480469,173.90885742
39,41,41,bicycle,222.81167969 222.40121094 223.45077148,https://farm5.staticflickr.com/4866/46170315414_11ffb52b2b_n.jpg,222.81167969,222.40121094,223.45077148
40,42,42,bicycle,226.1996875  226.00341797 226.66113281,https://farm5.staticflickr.com/4879/46170303964_d51acb1619_n.jpg,226.1996875,226.00341797,226.66113281
41,56,56,bicycle,224.07390625 224.93269531 224.13510742,https://farm5.staticflickr.com/4821/39916009443_095bf65168_n.jpg,224.07390625,224.93269531,224.13510742
42,57,57,bicycle,25.65783203 23.64388672 21.57533203,https://farm5.staticflickr.com/4833/46827357822_54b390e6cb_n.jpg,25.65783203,23.64388672,21.57533203
43,61,61,bicycle,216.97651367 194.28994141 190.67191406,https://farm5.staticflickr.com/4891/46152459184_c94c87fab9_n.jpg,216.97651367,194.28994141,190.67191406
44,62,62,bicycle,163.89331055 160.00624023 161.93540039,https://farm5.staticflickr.com/4834/46823747542_e997ca8f07_n.jpg,163.89331055,160.00624023,161.93540039
45,64,64,bicycle,160.2894043  212.09609375 197.52886719,https://farm8.staticflickr.com/7899/31932227017_8f2ba57ff3_n.jpg,160.2894043,212.09609375,197.52886719
46,65,65,bicycle,173.98897177 153.07629032 141.72969758,https://farm8.staticflickr.com/7860/31931575377_d2288c369d_n.jpg,173.98897177,153.07629032,141.72969758
47,69,69,bicycle,153.4753418  160.6471875  157.61851562,https://farm8.staticflickr.com/7825/32996780818_be9649e554_n.jpg,153.4753418,160.6471875,157.61851562
48,72,72,bicycle,177.43454102 177.63535156 176.11828125,https://farm5.staticflickr.com/4865/46146893274_25cf48285f_n.jpg,177.43454102,177.63535156,176.11828125
49,73,73,bicycle,191.75304687 191.37353516 191.27920898,https://farm8.staticflickr.com/7834/32996329928_07320cd43f_n.jpg,191.75304687,191.37353516,191.27920898
50,74,74,bicycle,158.28896484 156.85160156 155.58526367,https://farm8.staticflickr.com/7809/46146155004_6a8631f23f_n.jpg,158.28896484,156.85160156,155.58526367
51,76,76,bicycle,199.97766602 199.20131836 199.9765918 ,https://farm8.staticflickr.com/7824/39905832863_e758b20dbf_n.jpg,199.97766602,199.20131836,199.9765918
52,77,77,bicycle,201.1846582  200.24350586 200.29011719,https://farm5.staticflickr.com/4864/45955233495_bfeb471eb1_n.jpg,201.1846582,200.24350586,200.29011719
53,78,78,bicycle,112.30384766  95.71506836  80.6934375 ,https://farm8.staticflickr.com/7829/32993560918_3d8482d732_n.jpg,112.30384766,95.71506836,80.6934375
54,79,79,bicycle,139.82080078 125.06779297 119.19435547,https://farm8.staticflickr.com/7895/32992510698_c4514da450_n.jpg,139.82080078,125.06779297,119.19435547
55,80,80,bicycle,79.41815055 77.11080975 81.71518278,https://farm8.staticflickr.com/7822/46171760254_24966011e9_n.jpg,79.41815055,77.11080975,81.71518278
56,81,81,bicycle,227.49821289 223.73292969 222.03946289,https://farm5.staticflickr.com/4823/39900337333_b2eaa4ff50_n.jpg,227.49821289,223.73292969,222.03946289
57,85,85,bicycle,107.68086914 105.838125   100.75157227,https://farm5.staticflickr.com/4878/46864000071_7bbbce21bf_n.jpg,107.68086914,105.838125,100.75157227
58,86,86,bicycle,201.98058594 201.68786133 201.67447266,https://farm8.staticflickr.com/7817/46863953711_ff9f9de4df_n.jpg,201.98058594,201.68786133,201.67447266
59,87,87,bicycle,44.14585356 45.27482807 52.55929409,https://farm8.staticflickr.com/7811/46138719394_de6e507b13_n.jpg,44.14585356,45.27482807,52.55929409
60,88,88,bicycle,60.03229522 60.5581378  60.57074445,https://farm8.staticflickr.com/7804/46863496561_21a0affc94_n.jpg,60.03229522,60.5581378,60.57074445
61,89,89,bicycle,209.51740234 196.81749023 198.37738281,https://farm5.staticflickr.com/4851/46863471231_d9092a1e96_n.jpg,209.51740234,196.81749023,198.37738281
62,90,90,bicycle,251.28748047 233.1912793  245.9328125 ,https://farm5.staticflickr.com/4805/46138524794_2a468684af_n.jpg,251.28748047,233.1912793,245.9328125
63,91,91,bicycle,224.13166992 224.94518555 224.1580957 ,https://farm5.staticflickr.com/4838/46138484094_1f9ca1013c_n.jpg,224.13166992,224.94518555,224.1580957
64,92,92,bicycle,191.30794922 160.53644531 126.57962891,https://farm8.staticflickr.com/7816/46138241734_195e521243_n.jpg,191.30794922,160.53644531,126.57962891
65,93,93,bicycle,106.91496659 106.66318789 120.34434945,https://farm8.staticflickr.com/7857/46808970892_eff4a29d8c_n.jpg,106.91496659,106.66318789,120.34434945
66,95,95,bicycle,125.22685547 122.08296875 125.61314453,https://farm8.staticflickr.com/7826/46806859492_7baeac6ed3_n.jpg,125.22685547,122.08296875,125.61314453
67,96,96,bicycle, 86.23429687  99.66890625 102.73313477,https://farm8.staticflickr.com/7922/46133819564_b242a9a9c7_n.jpg,86.23429687,99.66890625,102.73313477
68,97,97,bicycle,215.32076172 216.44003906 217.56902344,https://farm5.staticflickr.com/4879/46131706664_acf48ea4a7_n.jpg,215.32076172,216.44003906,217.56902344
69,98,98,bicycle,197.23669922 199.56999023 200.63030273,https://farm8.staticflickr.com/7803/45940956865_4e89f78335_n.jpg,197.23669922,199.56999023,200.63030273
70,99,99,bicycle,77.16394695 71.57110129 65.72657757,https://farm8.staticflickr.com/7853/46843821702_30227aba01_n.jpg,77.16394695,71.57110129,65.72657757
71,100,100,bicycle,106.68607422 103.17796875  90.42519531,https://farm8.staticflickr.com/7861/45938680625_7bf28618cd_n.jpg,106.68607422,103.17796875,90.42519531
72,101,101,bicycle, 91.27263672  96.16384766 102.60646484,https://farm8.staticflickr.com/7800/32977367548_809d2121da_n.jpg,91.27263672,96.16384766,102.60646484
73,102,102,bicycle,216.52647119 216.52647119 216.52647119,https://farm8.staticflickr.com/7846/31911326787_962a41b693_n.jpg,216.52647119,216.52647119,216.52647119
74,103,103,bicycle,155.39870117 153.2644043  151.44458984,https://farm5.staticflickr.com/4817/45937936295_63218d457a_n.jpg,155.39870117,153.2644043,151.44458984
75,104,104,bicycle,81.83611328 84.59746094 62.12261719,https://farm8.staticflickr.com/7857/46852530761_69f3601348_n.jpg,81.83611328,84.59746094,62.12261719
76,105,105,bicycle,161.56078125 156.69582031 157.95563477,https://farm8.staticflickr.com/7906/46799616972_04d42384fc_n.jpg,161.56078125,156.69582031,157.95563477
77,106,106,bicycle,107.95414062 108.85197266 100.78914063,https://farm5.staticflickr.com/4834/39886275073_7c05288aab_n.jpg,107.95414062,108.85197266,100.78914063
78,107,107,bicycle,104.28636719 124.69727539 145.24512695,https://farm5.staticflickr.com/4841/39885105823_59d5250573_n.jpg,104.28636719,124.69727539,145.24512695
79,108,108,bicycle,235.7068457  235.69102539 235.98306641,https://farm8.staticflickr.com/7830/46848625301_6ff6687fc7_n.jpg,235.7068457,235.69102539,235.98306641
80,109,109,bicycle,124.35539062 127.06929688 118.45733398,https://farm8.staticflickr.com/7857/39883328823_ed326706f0_n.jpg,124.35539062,127.06929688,118.45733398
81,110,110,bicycle,131.09954928 127.61960136 116.47665264,https://farm8.staticflickr.com/7803/45933675075_2a5b5b9998_n.jpg,131.09954928,127.61960136,116.47665264
82,111,111,bicycle,154.18861328 122.94624023  83.7540332 ,https://farm8.staticflickr.com/7902/32972850748_e4dfb71db7_n.jpg,154.18861328,122.94624023,83.7540332
83,113,113,bicycle,203.75249023 199.58588867 199.7362207 ,https://farm5.staticflickr.com/4851/32969311648_2d65c3ce3e_n.jpg,203.75249023,199.58588867,199.7362207
84,116,116,bicycle,111.51463867  92.69253906  87.11101562,https://farm8.staticflickr.com/7834/46840733951_f6a8553410_n.jpg,111.51463867,92.69253906,87.11101562
85,117,117,bicycle,130.10901367 133.31541992 125.7596875 ,https://farm5.staticflickr.com/4911/39873986963_61ee853f3a_n.jpg,130.10901367,133.31541992,125.7596875
86,118,118,bicycle,141.9430957  121.52621094 111.37114258,https://farm5.staticflickr.com/4908/39873986863_fe4052abd0_n.jpg,141.9430957,121.52621094,111.37114258
87,119,119,bicycle,155.39878906 114.89978516 118.21407227,https://farm8.staticflickr.com/7858/46113893204_b4c552fe6c_n.jpg,155.39878906,114.89978516,118.21407227
88,120,120,bicycle,132.29908203 115.01233398  99.41900391,https://farm5.staticflickr.com/4829/39873807763_21a677611b_n.jpg,132.29908203,115.01233398,99.41900391
89,121,121,bicycle,133.79072266 132.42513672 132.25672852,https://farm8.staticflickr.com/7858/46785252102_7ab6d62890_n.jpg,133.79072266,132.42513672,132.25672852
90,122,122,bicycle,76.01526367 87.00865234 77.42765625,https://farm5.staticflickr.com/4903/32961641638_bffc910ed2_n.jpg,76.01526367,87.00865234,77.42765625
91,123,123,bicycle,241.39433594 236.7652832  232.77055664,https://farm5.staticflickr.com/4816/45920189895_f9f341333f_n.jpg,241.39433594,236.7652832,232.77055664
92,124,124,bicycle,60.02335937 61.5159082  65.91729492,https://farm8.staticflickr.com/7894/45918490775_137645a8da_n.jpg,60.02335937,61.5159082,65.91729492
93,126,126,bicycle,221.99566406 221.75219727 220.83026367,https://farm8.staticflickr.com/7911/45916011905_3eb515142e_n.jpg,221.99566406,221.75219727,220.83026367
94,127,127,bicycle,103.89115234 108.75478516  99.70954102,https://farm8.staticflickr.com/7817/39865113403_667643a963_n.jpg,103.89115234,108.75478516,99.70954102
95,128,128,bicycle, 91.12376953 138.08911133 203.65094727,https://farm5.staticflickr.com/4899/46776677802_e7e4511909_n.jpg,91.12376953,138.08911133,203.65094727
96,129,129,bicycle,132.22332031 133.13088867 132.70572266,https://farm5.staticflickr.com/4827/31886165757_f03bc5947c_n.jpg,132.22332031,133.13088867,132.70572266
97,130,130,bicycle,108.56972962  95.06972962  83.95032328,https://farm8.staticflickr.com/7897/46824519481_490bcb475f_n.jpg,108.56972962,95.06972962,83.95032328
98,131,131,bicycle,103.33710937 101.10454728 101.66127804,https://farm8.staticflickr.com/7900/45908202115_a7d3899698_n.jpg,103.33710937,101.10454728,101.66127804
99,136,136,bicycle,144.92431641 129.77922852 113.93379883,https://farm8.staticflickr.com/7906/45895480555_0674eb7c2e_n.jpg,144.92431641,129.77922852,113.93379883
100,137,137,bicycle,163.0474707  153.29786133 143.63572266,https://farm8.staticflickr.com/7869/46083787914_a37b453eed_n.jpg,163.0474707,153.29786133,143.63572266
101,138,138,bicycle,101.49196289  93.27479492  93.67466797,https://farm5.staticflickr.com/4804/32932767688_5d3ac90198_n.jpg,101.49196289,93.27479492,93.67466797
102,139,139,bicycle,191.96078125 191.96191406 191.88530273,https://farm8.staticflickr.com/7852/39841486613_76ea701f47_n.jpg,191.96078125,191.96191406,191.88530273
103,140,140,bicycle,176.12611328 152.95205078 136.19498047,https://farm8.staticflickr.com/7816/46752304092_5cf58b22af_n.jpg,176.12611328,152.95205078,136.19498047
104,142,142,bicycle,243.46147461 247.30730469 245.28880859,https://farm5.staticflickr.com/4815/32927838648_7e51ab8613_n.jpg,243.46147461,247.30730469,245.28880859
105,143,143,bicycle,252.44040039 245.67816406 243.5528418 ,https://farm5.staticflickr.com/4861/31861936487_07f02e4a3d_n.jpg,252.44040039,245.67816406,243.5528418
106,146,146,bicycle,200.71077148 200.22860352 200.22490234,https://farm5.staticflickr.com/4884/39837283373_64337b2038_n.jpg,200.71077148,200.22860352,200.22490234
107,147,147,bicycle,216.73064453 172.61740234 145.17206055,https://farm5.staticflickr.com/4884/32923608588_b51473c92f_n.jpg,216.73064453,172.61740234,145.17206055
108,148,148,bicycle,136.55112305 124.12594727  95.29078125,https://farm5.staticflickr.com/4882/32923252308_5666230103_n.jpg,136.55112305,124.12594727,95.29078125
109,149,149,bicycle,182.62460938 182.23867187 182.54522461,https://farm5.staticflickr.com/4865/46745979642_4d9887aabd_n.jpg,182.62460938,182.23867187,182.54522461
110,150,150,bicycle,116.22537109 116.22537109 116.22537109,https://farm5.staticflickr.com/4890/46745537782_73f7ffb18e_n.jpg,116.22537109,116.22537109,116.22537109
111,155,155,bicycle,199.30783203 170.14869141 161.87379883,https://farm8.staticflickr.com/7848/45879042855_6796944802_n.jpg,199.30783203,170.14869141,161.87379883
112,157,157,bicycle,133.14025391 112.99224609 117.14151367,https://farm5.staticflickr.com/4849/46739701642_16b88511a2_n.jpg,133.14025391,112.99224609,117.14151367
113,158,158,bicycle,212.6315332 212.6315332 212.6315332,https://farm5.staticflickr.com/4881/46792159631_baed343174_n.jpg,212.6315332,212.6315332,212.6315332
114,159,159,bicycle,123.1009668  100.71375977  86.5646582 ,https://farm5.staticflickr.com/4914/46066600594_a7bd6942da_n.jpg,123.1009668,100.71375977,86.5646582
115,160,160,bicycle,156.98923828 170.85830078 153.97130859,https://farm5.staticflickr.com/4877/39825974763_90d1f16521_n.jpg,156.98923828,170.85830078,153.97130859
116,162,162,bicycle,127.67147461 132.64575195 128.03348633,https://farm5.staticflickr.com/4908/46790075941_e44267de0d_n.jpg,127.67147461,132.64575195,128.03348633
117,163,163,bicycle,214.43169922 191.139375   173.75642578,https://farm5.staticflickr.com/4887/45874467035_dcd736d1fc_n.jpg,214.43169922,191.139375,173.75642578
118,164,164,bicycle,116.42411576 110.28420418 111.92013666,https://farm8.staticflickr.com/7839/46736175642_3602197e71_n.jpg,116.42411576,110.28420418,111.92013666
119,166,166,bicycle,135.44363281 135.44038086 127.11230469,https://farm5.staticflickr.com/4813/46788917131_c31de41d75_n.jpg,135.44363281,135.44038086,127.11230469
120,167,167,bicycle,128.78726434 140.76753074 150.74204918,https://farm5.staticflickr.com/4895/39823486643_3463a767c1_n.jpg,128.78726434,140.76753074,150.74204918
121,168,168,bicycle,134.41624023 137.39197266 125.33141602,https://farm8.staticflickr.com/7837/45873755355_b02807cec7_n.jpg,134.41624023,137.39197266,125.33141602
122,169,169,bicycle,144.89045318 141.4567762  132.11858892,https://farm5.staticflickr.com/4884/46736150712_5479fc9e09_n.jpg,144.89045318,141.4567762,132.11858892
123,171,171,bicycle,148.24128906 146.69371094 144.56911133,https://farm5.staticflickr.com/4804/46788871381_feb3c46387_n.jpg,148.24128906,146.69371094,144.56911133
124,172,172,bicycle,135.49285008 140.05104826 138.54325554,https://farm5.staticflickr.com/4905/45873711585_8eb90c253e_n.jpg,135.49285008,140.05104826,138.54325554
125,173,173,bicycle,119.73079102 119.99066406 118.71458008,https://farm8.staticflickr.com/7904/46063800434_810f3c1991_n.jpg,119.73079102,119.99066406,118.71458008
126,174,174,bicycle,119.14702148 117.91291992 106.02829102,https://farm8.staticflickr.com/7883/31847079497_98ee52ae00_n.jpg,119.14702148,117.91291992,106.02829102
127,175,175,bicycle,116.58365234 118.50804688 116.70675781,https://farm8.staticflickr.com/7920/46788810441_c30e4809ce_n.jpg,116.58365234,118.50804688,116.70675781
128,176,176,bicycle,125.62686714 147.76051494 150.12039112,https://farm8.staticflickr.com/7906/46788952311_fb06b2d7c4_n.jpg,125.62686714,147.76051494,150.12039112
129,177,177,bicycle,105.44046677 109.0059731  108.04698378,https://farm8.staticflickr.com/7822/46788949591_b85364d964_n.jpg,105.44046677,109.0059731,108.04698378
130,178,178,bicycle,104.83323675 109.09943088 109.34794081,https://farm8.staticflickr.com/7844/46788948751_78b1c079fe_n.jpg,104.83323675,109.09943088,109.34794081
131,179,179,bicycle,115.24840233 130.41132436 136.91950362,https://farm5.staticflickr.com/4888/46788947831_537f5cd4e0_n.jpg,115.24840233,130.41132436,136.91950362
132,180,180,bicycle,164.59787109 161.81181641 163.06931641,https://farm5.staticflickr.com/4916/39823309533_af5c817dbf_n.jpg,164.59787109,161.81181641,163.06931641
133,181,181,bicycle,203.48429167 214.19185417 215.06605208,https://farm8.staticflickr.com/7861/39821051723_dfb8a07b73_n.jpg,203.48429167,214.19185417,215.06605208
134,182,182,bicycle,203.48429167 214.19185417 215.06605208,https://farm5.staticflickr.com/4883/31844744077_aea0681a2c_n.jpg,203.48429167,214.19185417,215.06605208
135,183,183,bicycle,117.40847656 117.40847656 117.40847656,https://farm8.staticflickr.com/7868/46061103844_2200243c26_n.jpg,117.40847656,117.40847656,117.40847656
136,184,184,bicycle,201.05751953 200.16916016 200.61742187,https://farm8.staticflickr.com/7858/46733406932_396f07bfea_n.jpg,201.05751953,200.16916016,200.61742187
137,185,185,bicycle,227.67852539 227.67852539 227.67852539,https://farm8.staticflickr.com/7872/31844030217_4a6214f0b5_n.jpg,227.67852539,227.67852539,227.67852539
138,186,186,bicycle,225.00436523 225.1818457  225.73583984,https://farm8.staticflickr.com/7848/46059435204_787092013d_n.jpg,225.00436523,225.1818457,225.73583984
139,187,187,bicycle,143.07105375 118.28286049  95.99377133,https://farm8.staticflickr.com/7890/46731445632_e0a23b9a1e_n.jpg,143.07105375,118.28286049,95.99377133
140,188,188,bicycle,71.45657227 63.42638672 71.71042969,https://farm8.staticflickr.com/7901/46058572374_e675b53a0b_n.jpg,71.45657227,63.42638672,71.71042969
141,189,189,bicycle,196.37982422 196.37982422 196.37982422,https://farm5.staticflickr.com/4873/45868344095_3793a599f7_n.jpg,196.37982422,196.37982422,196.37982422
142,190,190,bicycle,111.54612858  92.02662221  81.12673169,https://farm8.staticflickr.com/7803/46781610191_0d8fbf9508_n.jpg,111.54612858,92.02662221,81.12673169
143,191,191,bicycle,188.55229492 180.63027344 180.51876953,https://farm8.staticflickr.com/7874/32903952268_23fdd64cd4_n.jpg,188.55229492,180.63027344,180.51876953
144,192,192,bicycle,115.54287109 115.54287109 115.54287109,https://farm8.staticflickr.com/7862/32900171948_836bb1955e_n.jpg,115.54287109,115.54287109,115.54287109
145,193,193,bicycle,160.91769519 160.91769519 160.91674882,https://farm5.staticflickr.com/4850/46050493464_88819397b3_n.jpg,160.91769519,160.91769519,160.91674882
146,194,194,bicycle,188.79171875 185.40533203 186.86191406,https://farm5.staticflickr.com/4841/31833377087_b5889d081a_n.jpg,188.79171875,185.40533203,186.86191406
147,195,195,bicycle,238.83070313 238.96671875 239.51729492,https://farm5.staticflickr.com/4837/45857228025_070552753b_n.jpg,238.83070313,238.96671875,239.51729492
148,196,196,bicycle,208.99089844 208.64132813 208.73158203,https://farm5.staticflickr.com/4855/45856835195_74a4888b12_n.jpg,208.99089844,208.64132813,208.73158203
149,197,197,bicycle,203.37063477 202.23032227 201.43266602,https://farm8.staticflickr.com/7915/46719108952_22414f4d6a_n.jpg,203.37063477,202.23032227,201.43266602
150,198,198,bicycle,125.71128906 100.87415039 101.17268555,https://farm8.staticflickr.com/7906/46771185601_9055e841c6_n.jpg,125.71128906,100.87415039,101.17268555
151,199,199,bicycle,112.53407738 110.63745748 112.32340561,https://farm8.staticflickr.com/7847/46770058881_2c76e5b836_n.jpg,112.53407738,110.63745748,112.32340561
152,204,204,bicycle,135.83646484 135.83646484 135.83646484,https://farm5.staticflickr.com/4879/31822138257_6cdd0d4b31_n.jpg,135.83646484,135.83646484,135.83646484
153,206,206,bicycle,95.66253906 94.60236328 83.77964844,https://farm5.staticflickr.com/4825/31820199197_d7f614f0c8_n.jpg,95.66253906,94.60236328,83.77964844
154,207,207,bicycle,107.71458008 109.21135742 110.52435547,https://farm8.staticflickr.com/7841/31820155937_cd03e5cca5_n.jpg,107.71458008,109.21135742,110.52435547
155,208,208,bicycle,124.52666179 119.44897575 107.11791388,https://farm8.staticflickr.com/7851/32886349248_16ef67c2d9_n.jpg,124.52666179,119.44897575,107.11791388
156,215,215,bicycle,153.46780208 138.69120833 137.005625  ,https://farm8.staticflickr.com/7835/39788817883_659f2703a5_n.jpg,153.46780208,138.69120833,137.005625
157,219,219,bicycle,189.6050293  168.53339844 154.12123047,https://farm8.staticflickr.com/7832/46027679594_329ecb96d3_n.jpg,189.6050293,168.53339844,154.12123047
158,220,220,bicycle,159.89967773  90.16797852  66.81808594,https://farm5.staticflickr.com/4900/46699597302_40dcc0a51e_n.jpg,159.89967773,90.16797852,66.81808594
159,221,221,bicycle,136.88645508 136.89579102 142.49712891,https://farm8.staticflickr.com/7822/31808830747_154ab5a901_n.jpg,136.88645508,136.89579102,142.49712891
160,223,223,bicycle,218.36326172 217.50754883 217.77019531,https://farm8.staticflickr.com/7858/46022885034_e0b240fe3a_n.jpg,218.36326172,217.50754883,217.77019531
161,224,224,bicycle,119.23885742 126.1965918  122.20117188,https://farm8.staticflickr.com/7821/46746970721_30223f23cd_n.jpg,119.23885742,126.1965918,122.20117188
162,225,225,bicycle,165.58487305 100.95405273  76.70083984,https://farm5.staticflickr.com/4913/46693900402_8488558940_n.jpg,165.58487305,100.95405273,76.70083984
163,226,226,bicycle,55.50325195 42.82010742 74.37861328,https://farm5.staticflickr.com/4892/31803616107_9b1e5a4dea_n.jpg,55.50325195,42.82010742,74.37861328
164,227,227,bicycle,148.82579102 162.00920898 142.0112207 ,https://farm5.staticflickr.com/4850/45828817885_402234450c_n.jpg,148.82579102,162.00920898,142.0112207
165,228,228,bicycle,145.87413086 145.87413086 145.87413086,https://farm8.staticflickr.com/7860/46019028454_b36b532986_n.jpg,145.87413086,145.87413086,145.87413086
166,229,229,bicycle,114.68485352 105.47994141 100.18859375,https://farm5.staticflickr.com/4835/31800925037_3513976dcb_n.jpg,114.68485352,105.47994141,100.18859375
167,230,230,bicycle,115.21810547  98.25084961  91.07486328,https://farm5.staticflickr.com/4836/39775304913_2dc0c298b9_n.jpg,115.21810547,98.25084961,91.07486328
